,title,imdbId,tmdbId
229,Eat Drink Man Woman (Yin shi nan nu) (1994),111797,10451.0
230,Exotica (1994),109759,20156.0
231,Exit to Eden (1994),109758,18395.0
232,Ed Wood (1994),109707,522.0
233,French Kiss (1995),113117,397.0
234,Forget Paris (1995),113097,10525.0
235,Far From Home: The Adventures of Yellow Dog (1995),113028,27985.0
236,"Goofy Movie, A (1995)",113198,15789.0
237,Hideaway (1995),113303,27303.0
238,Fluke (1995),113089,21183.0
239,Farinelli: il castrato (1994),109771,10954.0
240,Gordy (1995),113199,47867.0
241,Gumby: The Movie (1995),113234,43475.0
242,"Glass Shield, The (1994)",109906,72031.0
243,Hoop Dreams (1994),110057,14275.0
244,Heavenly Creatures (1994),110005,1024.0
245,Houseguest (1994),110066,17207.0
246,Immortal Beloved (1994),110116,13701.0
247,Heavyweights (Heavy Weights) (1995),110006,14819.0
248,"Hunted, The (1995)",113360,32631.0
249,I.Q. (1994),110099,11777.0
250,Interview with the Vampire: The Vampire Chronicles (1994),110148,628.0
251,Jefferson in Paris (1995),113463,87729.0
252,"Jerky Boys, The (1995)",110189,18713.0
253,Junior (1994),110216,6280.0
254,Just Cause (1995),113501,9061.0
255,"Kid in King Arthur's Court, A (1995)",113538,37108.0
256,Kiss of Death (1995),113552,6071.0
257,Star Wars: Episode IV - A New Hope (1977),76759,11.0
258,Little Women (1994),110367,9587.0
259,"Little Princess, A (1995)",113670,19101.0
260,Ladybird Ladybird (1994),110296,49980.0
261,"Enfer, L' (1994)",109731,17961.0
262,Like Water for Chocolate (Como agua para chocolate) (1992),103994,18183.0
263,Legends of the Fall (1994),110322,4476.0
264,Major Payne (1995),110443,11008.0
265,Little Odessa (1994),110365,47504.0
266,My Crazy Life (Mi vida loca) (1993),107566,32325.0
267,Love Affair (1994),110391,43742.0
268,Losing Isaiah (1995),113691,28313.0
269,"Madness of King George, The (1994)",110428,11318.0
270,Mary Shelley's Frankenstein (Frankenstein) (1994),109836,3036.0
271,Man of the House (1995),113755,40490.0
272,Mixed Nuts (1994),110538,24070.0
273,Milk Money (1994),110516,8986.0
274,Miracle on 34th Street (1994),110527,10510.0
275,Miami Rhapsody (1995),113808,17402.0
276,My Family (1995),113896,38722.0
277,Murder in the First (1995),113870,8438.0
278,Nobody's Fool (1994),110684,11593.0
279,Nell (1994),110638,1945.0
280,New Jersey Drive (1995),113967,39310.0
281,New York Cop (Nyû Yôku no koppu) (1993),117169,109560.0
282,Beyond Bedlam (1993),106402,56428.0
283,Nemesis 2: Nebula (1995),113948,63105.0
284,Nina Takes a Lover (1994),110671,131957.0
285,Natural Born Killers (1994),110632,241.0
286,Only You (1994),110737,9058.0
287,Once Were Warriors (1994),110729,527.0
288,Poison Ivy II (1996),114151,18220.0
289,Outbreak (1995),114069,6950.0
290,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),110413,101.0
291,"Perez Family, The (1995)",114113,63020.0
292,"Pyromaniac's Love Story, A (1995)",114210,2307.0
293,Pulp Fiction (1994),110912,680.0
294,Panther (1995),114084,41478.0
295,Pushing Hands (Tui shou) (1992),105652,25296.0
296,Priest (1994),110889,40156.0
297,Quiz Show (1994),110932,11450.0
298,Picture Bride (Bijo photo) (1994),114129,30304.0
299,"Queen Margot (Reine Margot, La) (1994)",110963,10452.0
300,"Quick and the Dead, The (1995)",114214,12106.0
301,Roommates (1995),114296,161495.0
302,Ready to Wear (Pret-A-Porter) (1994),110907,3586.0
303,Three Colors: Red (Trois couleurs: Rouge) (1994),111495,110.0
304,Three Colors: Blue (Trois couleurs: Bleu) (1993),108394,108.0
305,Three Colors: White (Trzy kolory: Bialy) (1994),111507,109.0
306,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",110769,159185.0
307,Rent-a-Kid (1995),114268,36357.0
308,Relative Fear (1994),110965,92769.0
309,Stuart Saves His Family (1995),114571,28033.0
310,"Swan Princess, The (1994)",111333,22586.0
311,"Secret of Roan Inish, The (1994)",111112,14334.0
312,"Specialist, The (1994)",111255,2636.0
313,Stargate (1994),111282,2164.0
314,"Santa Clause, The (1994)",111070,11395.0
315,"Shawshank Redemption, The (1994)",111161,278.0
316,Shallow Grave (1994),111149,9905.0
317,Suture (1993),108260,87078.0
318,Strawberry and Chocolate (Fresa y chocolate) (1993),106966,12527.0
319,Swimming with Sharks (1995),114594,20306.0
320,"Sum of Us, The (1994)",111309,36614.0
321,National Lampoon's Senior Trip (1995),113936,27993.0
322,To Live (Huozhe) (1994),110081,31439.0
323,Tank Girl (1995),114614,9067.0
324,Tales from the Crypt Presents: Demon Knight (1995),114608,9059.0
325,Star Trek: Generations (1994),111280,193.0
326,Tales from the Hood (1995),114609,25066.0
327,Tom & Viv (1994),111454,46797.0
328,Village of the Damned (1995),114852,12122.0
329,Tommy Boy (1995),114694,11381.0
330,Vanya on 42nd Street (1994),111590,32636.0
331,Underneath (1995),114788,36141.0
332,"Walking Dead, The (1995)",114888,95963.0
333,What's Eating Gilbert Grape (1993),108550,1587.0
334,Virtuosity (1995),114857,9271.0
335,While You Were Sleeping (1995),114924,2064.0
336,"War, The (1994)",111667,19855.0
337,Double Happiness (1994),109655,60855.0
338,Muriel's Wedding (1994),110598,236.0
339,"Baby-Sitters Club, The (1995)",112435,48287.0
340,Ace Ventura: Pet Detective (1994),109040,3049.0
341,"Adventures of Priscilla, Queen of the Desert, The (1994)",109045,2759.0
342,Backbeat (1993),106339,12635.0
343,Bitter Moon (1992),104779,10497.0
344,Bullets Over Broadway (1994),109348,11382.0
345,Clear and Present Danger (1994),109444,9331.0
346,"Client, The (1994)",109446,10731.0
347,"Corrina, Corrina (1994)",109484,10464.0
348,Crooklyn (1994),109504,34152.0
349,"Crow, The (1994)",109506,9495.0
350,Cobb (1994),109450,29973.0
351,"Flintstones, The (1994)",109813,888.0
352,Forrest Gump (1994),109830,13.0
353,Four Weddings and a Funeral (1994),109831,712.0
354,Higher Learning (1995),113305,16295.0
355,I Like It Like That (1994),110091,48992.0
356,I Love Trouble (1994),110093,10879.0
357,It Could Happen to You (1994),110167,10660.0
358,"Jungle Book, The (1994)",110213,10714.0
359,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",107472,41647.0
360,"Lion King, The (1994)",110357,8587.0
361,Little Buddha (1993),107426,1689.0
362,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",111686,11596.0
363,"Mask, The (1994)",110475,854.0
364,Maverick (1994),110478,9359.0
365,Mrs. Parker and the Vicious Circle (1994),110588,23333.0
366,Naked Gun 33 1/3: The Final Insult (1994),110622,36593.0
367,"Paper, The (1994)",110771,12280.0
368,Reality Bites (1994),110950,2788.0
369,Red Rock West (1992),105226,10427.0
370,Richie Rich (1994),110989,11011.0
371,Safe Passage (1994),111054,49803.0
372,"River Wild, The (1994)",110997,8987.0
373,Speed (1994),111257,1637.0
374,Speechless (1994),111256,15128.0
375,Timecop (1994),111438,8831.0
376,True Lies (1994),111503,36955.0
377,When a Man Loves a Woman (1994),111693,10449.0
378,Wolf (1994),111742,10395.0
379,Wyatt Earp (1994),111756,12160.0
380,Bad Company (1995),112443,40480.0
381,"Man of No Importance, A (1994)",110455,52038.0
382,S.F.W. (1994),111048,29444.0
383,"Low Down Dirty Shame, A (1994)",110399,26352.0
384,Boys Life (1995),112570,39953.0
385,"Colonel Chabert, Le (1994)",109454,41580.0
386,Faster Pussycat! Kill! Kill! (1965),59170,315.0
387,Jason's Lyric (1994),110186,22067.0
388,"Secret Adventures of Tom Thumb, The (1993)",108069,18242.0
389,Street Fighter (1994),111301,11667.0
390,Coldblooded (1995),112702,32502.0
391,Desert Winds (1995),112849,267188.0
392,Fall Time (1995),113014,28732.0
393,"Fear, The (1995)",113043,75555.0
394,Frank and Ollie (1995),113104,42981.0
395,Girl in the Cadillac (1995),113173,278939.0
396,Homage (1995),113319,291731.0
397,Mirage (1995),113827,226229.0
398,Open Season (1996),114047,203119.0
399,Two Crimes (Dos crímenes) (1995),112889,172923.0
400,Brother Minister: The Assassination of Malcolm X (1994),109339,316098.0
401,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),110027,8011.0
402,Federal Hill (1994),109785,171857.0
403,In the Mouth of Madness (1995),113409,2654.0
404,8 Seconds (1994),109021,18069.0
405,Above the Rim (1994),109035,19092.0
406,Addams Family Values (1993),106220,2758.0
407,Martin Lawrence: You So Crazy (1994),111804,38129.0
408,"Age of Innocence, The (1993)",106226,10436.0
409,Airheads (1994),109068,13595.0
410,"Air Up There, The (1994)",109067,46094.0
411,Another Stakeout (1993),106292,9409.0
412,Bad Girls (1994),109198,11853.0
413,Barcelona (1994),109219,16771.0
414,Being Human (1993),106379,46924.0
415,"Beverly Hillbillies, The (1993)",106400,11041.0
416,Beverly Hills Cop III (1994),109254,306.0
417,Black Beauty (1994),109279,14522.0
418,Blink (1994),109297,26203.0
419,Blown Away (1994),109303,178.0
420,Blue Chips (1994),109305,19819.0
421,Blue Sky (1994),109306,57834.0
422,Body Snatchers (1993),106452,4722.0
423,Boxing Helena (1993),106471,18215.0
424,"Bronx Tale, A (1993)",106489,1607.0
425,Cabin Boy (1994),109361,26391.0
426,Calendar Girl (1993),106505,117553.0
427,Carlito's Way (1993),106519,6075.0
428,City Slickers II: The Legend of Curly's Gold (1994),109439,11310.0
429,Clean Slate (1994),109443,18658.0
430,Cliffhanger (1993),106582,9350.0
431,Coneheads (1993),106598,9612.0
432,Color of Night (1994),109456,2124.0
433,Cops and Robbersons (1994),109480,26261.0
434,"Cowboy Way, The (1994)",109493,19176.0
435,Dangerous Game (1993),106660,49299.0
436,Dave (1993),106673,11566.0
437,Dazed and Confused (1993),106677,9571.0
438,Demolition Man (1993),106697,9739.0
439,"Endless Summer 2, The (1994)",109729,24257.0
440,Even Cowgirls Get the Blues (1993),106834,34444.0
441,Fatal Instinct (1993),106873,26141.0
442,Farewell My Concubine (Ba wang bie ji) (1993),106332,10997.0
443,"Favor, The (1994)",109783,50463.0
444,Fearless (1993),106881,10443.0
445,Fear of a Black Hat (1994),106880,20239.0
446,With Honors (1994),111732,16297.0
447,Flesh and Bone (1993),106926,18551.0
448,Widows' Peak (1994),111712,25440.0
449,For Love or Money (1993),106941,9024.0
450,"Firm, The (1993)",106918,37233.0
451,Free Willy (1993),106965,1634.0
452,Fresh (1994),109842,13815.0
453,"Fugitive, The (1993)",106977,5503.0
454,Geronimo: An American Legend (1993),107004,35588.0
455,"Getaway, The (1994)",109890,2087.0
456,Getting Even with Dad (1994),109891,41579.0
457,Go Fish (1994),109913,18620.0
458,"Good Man in Africa, A (1994)",109920,41006.0
459,Guilty as Sin (1993),107057,4916.0
460,Hard Target (1993),107076,2019.0
461,Heaven & Earth (1993),107096,31642.0
462,Hot Shots! Part Deux (1993),107144,9255.0
463,Live Nude Girls (1995),113674,26271.0
464,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",112966,10612.0
465,"House of the Spirits, The (1993)",107151,2259.0
466,House Party 3 (1994),110064,16097.0
467,"Hudsucker Proxy, The (1994)",110074,11934.0
468,I'll Do Anything (1994),110097,106143.0
469,In the Army Now (1994),110123,12475.0
470,In the Line of Fire (1993),107206,9386.0
471,In the Name of the Father (1993),107207,7984.0
472,"Inkwell, The (1994)",110137,59930.0
473,What's Love Got to Do with It? (1993),108551,15765.0
474,Jimmy Hollywood (1994),110197,31643.0
475,Judgment Night (1993),107286,6.0
476,Jurassic Park (1993),107290,329.0
477,Kalifornia (1993),107302,10909.0
478,Killing Zoe (1994),110265,507.0
479,King of the Hill (1993),107322,34024.0
480,Lassie (1994),110305,29918.0
481,Last Action Hero (1993),107362,9593.0
482,Life with Mikey (1993),107413,42580.0
483,Lightning Jack (1994),110353,22317.0
484,M. Butterfly (1993),107468,1413.0
485,Made in America (1993),107478,12121.0
486,Malice (1993),107497,2246.0
487,"Man Without a Face, The (1993)",107501,10502.0
488,Manhattan Murder Mystery (1993),107507,10440.0
489,Menace II Society (1993),107554,9516.0
490,Executive Decision (1996),116253,2320.0
491,In the Realm of the Senses (Ai no corrida) (1976),74102,5879.0
492,What Happened Was... (1994),111689,83718.0
493,Much Ado About Nothing (1993),107616,11971.0
494,Mr. Jones (1993),107611,2625.0
495,Mr. Wonderful (1993),107613,31911.0
496,Mrs. Doubtfire (1993),107614,788.0
497,Naked (1993),107653,21450.0
498,"Next Karate Kid, The (1994)",110657,11231.0
499,"New Age, The (1994)",110649,41588.0
500,No Escape (1994),110678,10447.0
501,North (1994),110687,31586.0
502,Orlando (1992),107756,9300.0
503,"Perfect World, A (1993)",107808,9559.0
504,Philadelphia (1993),107818,9800.0
505,"Piano, The (1993)",107822,713.0
506,Poetic Justice (1993),107840,8291.0
507,"Program, The (1993)",107889,18133.0
508,"Puppet Masters, The (1994)",111003,25557.0
509,Radioland Murders (1994),110939,22588.0
510,"Ref, The (1994)",110955,10872.0
511,"Remains of the Day, The (1993)",107943,1245.0
512,Renaissance Man (1994),110971,11858.0
513,Rising Sun (1993),107969,7007.0
514,"Road to Wellville, The (1994)",111001,10467.0
515,RoboCop 3 (1993),107978,5550.0
516,Robin Hood: Men in Tights (1993),107977,8005.0
517,Romeo Is Bleeding (1993),107983,2088.0
518,Romper Stomper (1992),105275,10412.0
519,Ruby in Paradise (1993),108000,47889.0
520,Rudy (1993),108002,14534.0
521,"Saint of Fort Washington, The (1993)",108026,56583.0
522,"Savage Nights (Nuits fauves, Les) (1992)",105032,41878.0
523,Schindler's List (1993),108052,424.0
524,"Scout, The (1994)",111094,35233.0
525,Searching for Bobby Fischer (1993),108065,14291.0
526,Second Best (1994),111102,103413.0
527,"Secret Garden, The (1993)",108071,11236.0
528,Serial Mom (1994),111127,11592.0
529,"Shadow, The (1994)",111143,8850.0
530,Shadowlands (1993),108101,10445.0
531,Short Cuts (1993),108122,695.0
532,"Simple Twist of Fate, A (1994)",111194,43535.0
533,Sirens (1994),111201,12519.0
534,Six Degrees of Separation (1993),108149,23210.0
535,Sleepless in Seattle (1993),108160,858.0
536,Sliver (1993),108162,867.0
537,Blade Runner (1982),83658,78.0
538,Son in Law (1993),108186,13203.0
539,So I Married an Axe Murderer (1993),108174,10442.0
540,Striking Distance (1993),108238,11074.0
541,Harem (1985),89256,33367.0
542,Super Mario Bros. (1993),108255,9607.0
543,Surviving the Game (1994),111323,17585.0
544,Terminal Velocity (1994),111400,9057.0
545,Thirty-Two Short Films About Glenn Gould (1993),108328,20967.0
546,Threesome (1994),111418,10635.0
547,"Nightmare Before Christmas, The (1993)",107688,9479.0
548,"Three Musketeers, The (1993)",108333,10057.0
549,Tombstone (1993),108358,11969.0
550,Trial by Jury (1994),111488,41590.0
551,True Romance (1993),108399,319.0
552,"War Room, The (1993)",108515,26408.0
553,"Pagemaster, The (1994)",110763,15139.0
554,"Paris, France (1993)",107779,161158.0
555,"Beans of Egypt, Maine, The (1994)",109226,218473.0
556,Killer (Bulletproof Heart) (1994),110259,85247.0
557,Welcome to the Dollhouse (1995),114906,11446.0
558,Germinal (1993),107002,51980.0
559,Chasers (1994),109403,24405.0
560,Cronos (1993),104029,11655.0
561,Naked in New York (1994),110623,11800.0
562,Kika (1993),107315,8223.0
563,Bhaji on the Beach (1993),106408,14587.0
564,Little Big League (1994),110363,31504.0
565,"Slingshot, The (Kådisbellan) (1993)",107349,41653.0
566,"Wedding Gift, The (1994)",111709,53185.0
567,Foreign Student (1994),109828,95743.0
568,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",107225,23637.0
569,Spanking the Monkey (1994),111252,17600.0
570,"Little Rascals, The (1994)",110366,10897.0
571,Fausto (1993),106878,349394.0
572,Andre (1994),109120,21352.0
573,"Escort, The (Scorta, La) (1993)",108059,68806.0
574,Princess Caraboo (1994),110892,37345.0
575,"Celluloid Closet, The (1995)",112651,32562.0
576,Métisse (Café au Lait) (1993),107642,47507.0
577,Dear Diary (Caro Diario) (1994),109382,25403.0
578,I Don't Want to Talk About It (De eso no se habla) (1993),106678,124304.0
579,"Brady Bunch Movie, The (1995)",112572,9066.0
580,Home Alone (1990),99785,771.0
581,Ghost (1990),99653,251.0
582,Aladdin (1992),103639,812.0
583,Aladdin (1992),827990,343693.0
584,Aladdin (1992),103639,812.0
585,Aladdin (1992),827990,343693.0
586,Terminator 2: Judgment Day (1991),103064,280.0
587,Dances with Wolves (1990),99348,581.0
588,Tough and Deadly (1995),114706,80350.0
589,Batman (1989),96895,268.0
590,"Silence of the Lambs, The (1991)",102926,274.0
591,Snow White and the Seven Dwarfs (1937),29583,408.0
592,Beauty and the Beast (1991),101414,10020.0
593,Pinocchio (1940),32910,10895.0
594,Pretty Woman (1990),100405,114.0
595,Window to Paris (Okno v Parizh) (1994),110719,41043.0
596,"Wild Bunch, The (1969)",65214,576.0
597,Love and a .45 (1994),110395,15477.0
598,"Wooden Man's Bride, The (Yan shen) (1994)",111752,59146.0
599,"Great Day in Harlem, A (1994)",109934,124472.0
600,"Bye Bye, Love (1995)",112606,30528.0
601,Criminals (1996),115978,
602,One Fine Day (1996),117247,7300.0
603,Candyman: Farewell to the Flesh (1995),112625,10824.0
604,Century (1993),106537,261246.0
605,Fargo (1996),116282,275.0
606,Homeward Bound II: Lost in San Francisco (1996),116552,25059.0
607,Heavy Metal (1981),82509,11827.0
